time,strike,type,mark_iv,oi
2025-01-01T00:00:00Z,58000.0000,CALL,0.6450,238.3193
2025-01-01T00:00:00Z,58000.0000,PUT,0.6450,450.4316
2025-01-01T00:00:00Z,59000.0000,CALL,0.6250,238.4446
2025-01-01T00:00:00Z,59000.0000,PUT,0.6250,381.6017
2025-01-01T00:00:00Z,60000.0000,CALL,0.6050,264.6376
2025-01-01T00:00:00Z,60000.0000,PUT,0.6050,438.0617
2025-01-01T00:00:00Z,61000.0000,CALL,0.6176,221.7942
2025-01-01T00:00:00Z,61000.0000,PUT,0.6176,378.1809
2025-01-01T00:00:00Z,62000.0000,CALL,0.6376,212.1238
2025-01-01T00:00:00Z,62000.0000,PUT,0.6376,426.5933
2025-01-01T01:00:00Z,58000.0000,CALL,0.6864,211.9332
2025-01-01T01:00:00Z,58000.0000,PUT,0.6864,383.3966
2025-01-01T01:00:00Z,59000.0000,CALL,0.6664,228.6589
2025-01-01T01:00:00Z,59000.0000,PUT,0.6664,364.8762
2025-01-01T01:00:00Z,60000.0000,CALL,0.6464,265.2562
2025-01-01T01:00:00Z,60000.0000,PUT,0.6464,334.5434
2025-01-01T01:00:00Z,61000.0000,CALL,0.6503,292.6788
2025-01-01T01:00:00Z,61000.0000,PUT,0.6503,348.9581
2025-01-01T01:00:00Z,62000.0000,CALL,0.6703,245.0758
2025-01-01T01:00:00Z,62000.0000,PUT,0.6703,362.2508
2025-01-01T02:00:00Z,58000.0000,CALL,0.7297,297.3480
2025-01-01T02:00:00Z,58000.0000,PUT,0.7297,493.3356
2025-01-01T02:00:00Z,59000.0000,CALL,0.7097,285.5884
2025-01-01T02:00:00Z,59000.0000,PUT,0.7097,361.4386
2025-01-01T02:00:00Z,60000.0000,CALL,0.6897,262.7244
2025-01-01T02:00:00Z,60000.0000,PUT,0.6897,460.8248
2025-01-01T02:00:00Z,61000.0000,CALL,0.6900,275.5959
2025-01-01T02:00:00Z,61000.0000,PUT,0.6900,378.8482
2025-01-01T02:00:00Z,62000.0000,CALL,0.7100,205.6847
2025-01-01T02:00:00Z,62000.0000,PUT,0.7100,454.3181
2025-01-01T03:00:00Z,58000.0000,CALL,0.7548,218.6934
2025-01-01T03:00:00Z,58000.0000,PUT,0.7548,371.4548
2025-01-01T03:00:00Z,59000.0000,CALL,0.7348,293.8265
2025-01-01T03:00:00Z,59000.0000,PUT,0.7348,476.7127
2025-01-01T03:00:00Z,60000.0000,CALL,0.7148,253.2820
2025-01-01T03:00:00Z,60000.0000,PUT,0.7148,381.2321
2025-01-01T03:00:00Z,61000.0000,CALL,0.7184,245.3205
2025-01-01T03:00:00Z,61000.0000,PUT,0.7184,389.9563
2025-01-01T03:00:00Z,62000.0000,CALL,0.7384,203.9106
2025-01-01T03:00:00Z,62000.0000,PUT,0.7384,385.5068
2025-01-01T04:00:00Z,58000.0000,CALL,0.7991,229.8227
2025-01-01T04:00:00Z,58000.0000,PUT,0.7991,403.7326
2025-01-01T04:00:00Z,59000.0000,CALL,0.7791,257.7766
2025-01-01T04:00:00Z,59000.0000,PUT,0.7791,507.4879
2025-01-01T04:00:00Z,60000.0000,CALL,0.7591,286.6774
2025-01-01T04:00:00Z,60000.0000,PUT,0.7591,394.5279
2025-01-01T04:00:00Z,61000.0000,CALL,0.7634,269.8632
2025-01-01T04:00:00Z,61000.0000,PUT,0.7634,429.7062
2025-01-01T04:00:00Z,62000.0000,CALL,0.7834,289.0331
2025-01-01T04:00:00Z,62000.0000,PUT,0.7834,461.9516
2025-01-01T05:00:00Z,58000.0000,CALL,0.8190,291.4712
2025-01-01T05:00:00Z,58000.0000,PUT,0.8190,526.3008
2025-01-01T05:00:00Z,59000.0000,CALL,0.7990,227.2962
2025-01-01T05:00:00Z,59000.0000,PUT,0.7990,485.5724
2025-01-01T05:00:00Z,60000.0000,CALL,0.7790,244.3318
2025-01-01T05:00:00Z,60000.0000,PUT,0.7790,480.6611
2025-01-01T05:00:00Z,61000.0000,CALL,0.7923,281.8848
2025-01-01T05:00:00Z,61000.0000,PUT,0.7923,382.8851
2025-01-01T05:00:00Z,62000.0000,CALL,0.8123,221.4063
2025-01-01T05:00:00Z,62000.0000,PUT,0.8123,496.1241
2025-01-01T06:00:00Z,58000.0000,CALL,0.8375,252.9084
2025-01-01T06:00:00Z,58000.0000,PUT,0.8375,417.7823
2025-01-01T06:00:00Z,59000.0000,CALL,0.8175,295.2054
2025-01-01T06:00:00Z,59000.0000,PUT,0.8175,432.6934
2025-01-01T06:00:00Z,60000.0000,CALL,0.7975,257.9207
